1.6340 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
91.9296 	EXP 	polygon_4: autoDraw = False
91.9659 	EXP 	New trial (rep=9, index=0): None
91.9792 	EXP 	strza: autoDraw = False
91.9792 	EXP 	polygon_3: autoDraw = False
91.9792 	EXP 	polygon_4: autoDraw = False
91.9792 	EXP 	fiksa: autoDraw = True
93.9802 	EXP 	fiksa: autoDraw = False
93.9802 	EXP 	fiksa: autoDraw = False
93.9802 	EXP 	strza: autoDraw = True
93.9802 	EXP 	polygon_4: autoDraw = True
96.9471 	EXP 	polygon_3: autoDraw = True
99.9486 	EXP 	polygon_3: autoDraw = False
99.9486 	EXP 	polygon_4: autoDraw = False
99.9673 	EXP 	New trial (rep=10, index=0): None
99.9836 	EXP 	strza: autoDraw = False
99.9836 	EXP 	strza: autoDraw = False
99.9836 	EXP 	polygon_3: autoDraw = False
99.9836 	EXP 	polygon_4: autoDraw = False
99.9836 	EXP 	fiksa: autoDraw = True
101.9993 	EXP 	fiksa: autoDraw = False
101.9993 	EXP 	strza: autoDraw = True
101.9993 	EXP 	polygon_3: autoDraw = True
104.9664 	EXP 	polygon_4: autoDraw = True
107.9672 	EXP 	polygon_3: autoDraw = False
107.9672 	EXP 	polygon_4: autoDraw = False
107.9901 	EXP 	New trial (rep=11, index=0): None
108.0028 	EXP 	strza: autoDraw = False
108.0028 	EXP 	polygon_3: autoDraw = False
108.0028 	EXP 	polygon_4: autoDraw = False
108.0028 	EXP 	fiksa: autoDraw = True
110.0181 	EXP 	fiksa: autoDraw = False
110.0181 	EXP 	strza: autoDraw = True
110.0181 	EXP 	polygon_3: autoDraw = True
113.0059 	EXP 	polygon_4: autoDraw = True
116.0036 	EXP 	polygon_3: autoDraw = False
116.0036 	EXP 	polygon_4: autoDraw = False
116.0063 	EXP 	New trial (rep=12, index=0): None
116.0222 	EXP 	strza: autoDraw = False
116.0222 	EXP 	polygon_3: autoDraw = False
116.0222 	EXP 	polygon_4: autoDraw = False
116.0222 	EXP 	fiksa: autoDraw = True
118.0381 	EXP 	fiksa: autoDraw = False
118.0381 	EXP 	strza: autoDraw = True
118.0381 	EXP 	polygon_3: autoDraw = True
121.0224 	EXP 	polygon_4: autoDraw = True
124.0059 	EXP 	polygon_3: autoDraw = False
124.0059 	EXP 	polygon_4: autoDraw = False
124.0304 	EXP 	New trial (rep=13, index=0): None
124.0393 	EXP 	strza: autoDraw = False
124.0393 	EXP 	polygon_3: autoDraw = False
124.0393 	EXP 	polygon_4: autoDraw = False
124.0393 	EXP 	fiksa: autoDraw = True
126.0403 	EXP 	fiksa: autoDraw = False
126.0403 	EXP 	fiksa: autoDraw = False
126.0403 	EXP 	strza: autoDraw = True
126.0403 	EXP 	polygon_3: autoDraw = True
129.0076 	EXP 	polygon_4: autoDraw = True
132.0087 	EXP 	polygon_3: autoDraw = False
132.0087 	EXP 	polygon_4: autoDraw = False
132.0303 	EXP 	New trial (rep=14, index=0): None
132.0466 	EXP 	strza: autoDraw = False
132.0466 	EXP 	strza: autoDraw = False
132.0466 	EXP 	polygon_3: autoDraw = False
132.0466 	EXP 	polygon_4: autoDraw = False
132.0466 	EXP 	fiksa: autoDraw = True
134.0617 	EXP 	fiksa: autoDraw = False
134.0617 	EXP 	strza: autoDraw = True
134.0617 	EXP 	polygon_4: autoDraw = True
137.0479 	EXP 	polygon_3: autoDraw = True
140.0489 	EXP 	polygon_3: autoDraw = False
